model,loss,pixel_accuracy,foreground_mean_dice,foreground_mean_iou,foreground_mean_f1,foreground_macro_roc_auc,foreground_macro_average_precision,foreground_macro_pr_auc,foreground_mean_hd95,foreground_mean_asd,micro_roc_auc,micro_average_precision,micro_pr_auc,architecture,variation,contrastive_label,contrastive_weight,handle,checkpoint_path
ResNet-UNet cw0,0.3555358081523861,0.9925189099675266,0.8208686254813813,0.7123011670446922,0.8208686254813813,0.9861145997649698,0.8651013785224739,0.8648787269275817,7.6536750622107235,2.482230935051094,0.999620080257,0.9980831444863911,0.9980825376320873,ResNetUNet,resnet-unet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet/3/best_resnet_unet.pt
ResNet-UNet cw001,0.3593073798609631,0.9927205979848891,0.8124904544681348,0.7044614862820542,0.8124904544681348,0.9711095977712894,0.8463295428532176,0.8461291336972319,7.093157862798312,2.383515002471502,0.999420305697,0.9975376059908293,0.9975362728635234,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt
ResNet-UNet cw003,0.357687848106939,0.991945685371167,0.8012037142829123,0.6890314322620539,0.8012037142829124,0.9857407621250383,0.8518165173255963,0.8515642362597114,7.937491060031505,2.7592707170956277,0.999592680869,0.9977310078963817,0.997730712093596,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt
ResNet-UNet cw005,0.3581858378055753,0.9925362723214286,0.8053413456499803,0.6942006204767068,0.8053413456499803,0.9728630605326748,0.8496266138333768,0.8493553325919257,7.165960331080827,2.4187147231735127,0.99944260066,0.9972205347007295,0.9972195702881657,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt
TransUNet cw0,0.35433828720480814,0.9926834201773024,0.8193650845208929,0.7129031112047207,0.8193650845208929,0.9858977091658796,0.8558267941631111,0.8554996554278804,7.718190261614926,2.581956961326715,0.9996662960120001,0.9984880067802429,0.9984833209996565,TransUNet,transunet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet/4/best_transunet.pt
TransUNet cw001,0.35542550648809695,0.9930156563183309,0.8273127616311254,0.7233509785814198,0.8273127616311255,0.9855834473261058,0.8649879513051113,0.8647103143400173,7.571681068195272,2.335346433592936,0.9997574839169999,0.9988835665049683,0.9988806064649531,TransUNet,transunet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw001/2/best_transunet.pt
TransUNet cw003,0.35587528484816455,0.9928976279008096,0.821076311281357,0.7152045939655429,0.821076311281357,0.9890333478456899,0.8656684213228607,0.8654719118685885,7.373560433760879,2.4274695286008376,0.999741969849,0.9988743469784098,0.9988715320654644,TransUNet,transunet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw003/2/best_transunet.pt
TransUNet cw005,0.3532910486493184,0.9928962170506755,0.8296991195476155,0.7229592460908809,0.8296991195476155,0.9870728222573093,0.8675168954835091,0.8672496593313781,7.867697469580859,2.5749926217400043,0.999588632786,0.9988515990605226,0.9988499072960527,TransUNet,transunet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw005/2/best_transunet.pt
