model,class_id,class_name,support_pixels,tp,fp,fn,tn,precision,recall_sensitivity,specificity,f1,dice,iou,loss,roc_auc,average_precision,pr_auc,hd95,asd,architecture,variation,contrastive_label,contrastive_weight,handle,checkpoint_path
ResNet-UNet cw001,1,Spleen,84568,73361,10872,11207,78580528,0.8709294457041777,0.8674794248415476,0.9998616642533407,0.8692010118423469,0.8692010118423469,0.7686609388097234,0.3593073798609631,0.9954677776037946,0.9266643575998773,0.9265806472117515,2.2700465359671056,0.8123427504849078,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt
ResNet-UNet cw001,2,Right kidney,22661,12089,2806,10572,78650501,0.8116146357838201,0.5334716031949164,0.999964324449829,0.6437852806475662,0.6437852806475663,0.4746927396238269,0.3593073798609631,0.8796468773623017,0.618999993738504,0.6180123407094046,5.83087827575563,2.522611105938062,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt
ResNet-UNet cw001,3,Left kidney,169740,154748,15003,14992,78491225,0.9116176046091039,0.9116766819842111,0.9998088941427679,0.9116471423395612,0.9116471423395612,0.8376393151567313,0.3593073798609631,0.9949345536833979,0.9600508536438915,0.9600314382453126,3.086419522277928,0.9942628650528696,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt
ResNet-UNet cw001,4,Gallbladder,168278,151084,15142,17194,78492548,0.9089071505059377,0.8978238391233554,0.9998071271744208,0.9033314997727979,0.9033314997727979,0.8237051575618798,0.3593073798609631,0.9980126099335727,0.9466099002025465,0.9465709173442077,3.631143673115163,1.0372865411089338,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt
ResNet-UNet cw001,5,Liver,1868558,1804207,149315,64351,76658095,0.923566256228494,0.9655611439409427,0.9980559818382106,0.9440969315137308,0.9440969315137308,0.8941132568798928,0.3593073798609631,0.9987856069952132,0.9848101868878752,0.984809231580414,7.7440889716993775,1.8346525596065986,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt
ResNet-UNet cw001,6,Stomach,96519,42531,16661,53988,78562788,0.7185261521827274,0.44064899139029623,0.9997879725524672,0.5462812518062309,0.5462812518062308,0.3757819402721329,0.3593073798609631,0.9532804677969051,0.5622761277580771,0.561848855158176,14.65211653902855,5.073654780960112,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt
ResNet-UNet cw001,7,Aorta,265363,245967,32512,19396,78378093,0.8832515198632572,0.9269076698710823,0.9995853622096144,0.9045531606606332,0.9045531606606331,0.8257389844733529,0.3593073798609631,0.9974753365020936,0.9558898733620429,0.9558653391199365,4.383652188018916,1.7120510948662377,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt
ResNet-UNet cw001,8,Pancreas,505571,349869,45092,155702,78125305,0.8858317656680027,0.6920274303708085,0.9994231575925091,0.7770273571622108,0.7770273571622108,0.6353595574788936,0.3593073798609631,0.951273552293036,0.8153350496329251,0.8153143002086514,15.146917196523823,5.0812583217542935,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt
ResNet-UNet cw003,0,Background,75494710,75226892,253452,267818,2927806,0.9966421456690765,0.9964524931614414,0.9203296306052511,0.9965473103920863,0.9965473103920863,0.9931183808789974,0.357687848106939,0.9917767096776834,0.999116954292115,0.9991167713837035,,,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt
ResNet-UNet cw003,1,Spleen,84568,75981,12099,8587,78579301,0.8626362397820163,0.8984604105571847,0.9998460518580914,0.8801839581113017,0.8801839581113016,0.786007634456433,0.357687848106939,0.9936787224689453,0.9348387441636293,0.9347553319191894,2.8253328942253564,0.8575818938692681,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt
ResNet-UNet cw003,2,Right kidney,22661,13587,3348,9074,78649959,0.8023029229406554,0.5995763646794051,0.9999574334490475,0.6862814425699565,0.6862814425699566,0.5223960936598869,0.357687848106939,0.9731691116320043,0.6560281512124552,0.6546583924762239,5.521317679638842,2.22712880164269,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt
ResNet-UNet cw003,3,Left kidney,169740,158375,13546,11365,78492682,0.9212079966961569,0.9330446565335219,0.999827453179893,0.9270885468344352,0.9270885468344353,0.8640867278460984,0.357687848106939,0.9981679547192116,0.975934190516071,0.975909174068767,2.2701742461136174,0.7204371308910601,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt
ResNet-UNet cw003,4,Gallbladder,168278,152911,15587,15367,78492103,0.9074944509727119,0.9086808733167734,0.9998014589398821,0.9080872746276456,0.9080872746276457,0.8316482201615315,0.357687848106939,0.9996808718712286,0.9683036276338163,0.9682792391701794,2.7180129707685854,0.9980595469233327,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt
ResNet-UNet cw003,5,Liver,1868558,1794393,129942,74165,76677468,0.9324743352898534,0.9603089655231467,0.9983082101062906,0.9461869870834744,0.9461869870834743,0.8978699024268201,0.357687848106939,0.9991858183128348,0.9841133188880365,0.9841119391543078,7.704742461772816,1.9309223959943822,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt
ResNet-UNet cw003,6,Stomach,96519,41238,17882,55281,78561567,0.6975304465493911,0.427252665278339,0.9997724341386003,0.529918593668682,0.529918593668682,0.3604688770203058,0.357687848106939,0.9482787306836923,0.5920623749332463,0.5916736231283947,15.752580417891792,5.7292785388180825,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt
ResNet-UNet cw003,7,Aorta,265363,252888,91986,12475,78318619,0.7332765009829677,0.9529889246051635,0.9988268678707427,0.8288189670570615,0.8288189670570615,0.7076779282997854,0.357687848106939,0.9975749221968049,0.922510305767735,0.9224238421017351,6.877882704104673,2.2278172681166555,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt
ResNet-UNet cw003,8,Pancreas,505571,326022,95839,179549,78074558,0.7728185350150879,0.6448589812311228,0.998773973221602,0.7030639443107419,0.7030639443107419,0.5420960742255699,0.357687848106939,0.9761899651155851,0.7807414254897808,0.780702348058894,19.82988510573636,7.382940160509548,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt
ResNet-UNet cw005,0,Background,75494710,75256322,272181,238388,2909077,0.996396314117334,0.9968423217997658,0.914442336962296,0.9966192680591428,0.9966192680591427,0.9932613177964502,0.3581858378055753,0.9896050723837128,0.9989575272502536,0.9989569636778792,,,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt
ResNet-UNet cw005,1,Spleen,84568,71684,8510,12884,78582890,0.8938823353368083,0.8476492290227983,0.9998917184322966,0.870152098177978,0.8701520981779779,0.7701497668622016,0.3581858378055753,0.9959163792582826,0.936802244386821,0.9367295815548676,1.9763621447227526,0.7191270839871571,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt
ResNet-UNet cw005,2,Right kidney,22661,13765,8557,8896,78644750,0.6166562136009318,0.6074312695821014,0.9998912061002089,0.6120089811706645,0.6120089811706645,0.4409315138702031,0.3581858378055753,0.8667504211061188,0.5920538895443852,0.5905153083873212,4.870773935644066,1.9650092069139415,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt
ResNet-UNet cw005,3,Left kidney,169740,158990,15378,10750,78490850,0.911807212332538,0.936667844939319,0.9998041174516753,0.9240703500063933,0.9240703500063934,0.8588575935349345,0.3581858378055753,0.9978927806557479,0.9696037365025488,0.9696288756202264,2.432658200647147,0.7539127752049496,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt
ResNet-UNet cw005,4,Gallbladder,168278,149287,16186,18991,78491504,0.9021834377813903,0.8871450813534746,0.9997938291140651,0.8946010648657232,0.8946010648657232,0.8093015439326915,0.3581858378055753,0.9944341695417612,0.9431609484280851,0.9431300417411992,4.097820338431655,1.1496036682248365,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt
ResNet-UNet cw005,5,Liver,1868558,1809659,138979,58899,76668431,0.9286789029055166,0.9684789019125979,0.998190552187608,0.9481614252975221,0.948161425297522,0.9014324518053715,0.3581858378055753,0.999359984091804,0.9846137738628381,0.9846162976239672,7.552544162694427,1.9638116702958746,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt
ResNet-UNet cw005,6,Stomach,96519,51117,31941,45402,78547508,0.615437405186737,0.5296055698877941,0.9995935196745908,0.569304532317613,0.569304532317613,0.3979215319943951,0.3581858378055753,0.9760987650989595,0.6210284332469469,0.6206030277776869,16.145750347494822,5.309071533584553,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt
ResNet-UNet cw005,7,Aorta,265363,245983,55557,19380,78355048,0.8157557869602706,0.9269679646371197,0.9992914606385195,0.8678133648966401,0.8678133648966402,0.7664932070297894,0.3581858378055753,0.9979855489679543,0.9219848312915726,0.921876615147417,5.385203787855206,1.6729911770530734,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt
ResNet-UNet cw005,8,Pancreas,505571,331945,39927,173626,78130470,0.8926324111522245,0.6565744475058893,0.9994892311983525,0.7566189484673078,0.7566189484673078,0.6085173547840689,0.3581858378055753,0.9544664355407697,0.8277650534038165,0.8277429128827205,14.866569731156538,5.816190670123716,ResNetUNet,resnet-unet-cw005,cw050,0.05,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw005,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw005/1/best_resnet_unet.pt
TransUNet cw0,0,Background,75494710,75217396,235392,277314,2945866,0.9968802743246545,0.996326709513819,0.9260066300815589,0.9966034150496486,0.9966034150496486,0.993229825571871,0.35433828720480814,0.9972092723290148,0.9998412154250483,0.9998413453049116,,,TransUNet,transunet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet/4/best_transunet.pt
TransUNet cw0,1,Spleen,84568,72406,7923,12162,78583477,0.901368123591729,0.8561867373001608,0.9998991874429008,0.8781966924807608,0.8781966924807607,0.7828437361473009,0.35433828720480814,0.9970153684621159,0.9332766949471197,0.9334036655189407,2.0564869691750696,0.7060811873773082,TransUNet,transunet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet/4/best_transunet.pt
TransUNet cw0,2,Right kidney,22661,13548,6993,9113,78646314,0.6595589309186505,0.5978553461894885,0.9999110908330912,0.6271931855006714,0.6271931855006713,0.4568692250623862,0.35433828720480814,0.9600016664516917,0.626734895468743,0.6248549151248589,5.09650203911697,2.2327129656025724,TransUNet,transunet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet/4/best_transunet.pt
TransUNet cw0,3,Left kidney,169740,156713,9174,13027,78497054,0.9446972939410563,0.9232532107929775,0.999883143029111,0.9338521632645765,0.9338521632645764,0.8759124495567703,0.35433828720480814,0.9976797193625357,0.9727137918112345,0.9727037743675395,2.9641707954875756,0.8843992725719965,TransUNet,transunet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet/4/best_transunet.pt
TransUNet cw0,4,Gallbladder,168278,155767,26911,12511,78480779,0.8526861472098446,0.9256527888375189,0.9996572182928831,0.8876725287500429,0.8876725287500428,0.7980316513737967,0.35433828720480814,0.9963457936095859,0.938702681524738,0.9386706137763031,7.40660707954074,2.6092570460062507,TransUNet,transunet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet/4/best_transunet.pt
TransUNet cw0,5,Liver,1868558,1799300,122952,69258,76684458,0.9360375226557184,0.9629350547320447,0.998399216950552,0.9492957969404955,0.9492957969404956,0.9034852950776044,0.35433828720480814,0.9994926074182466,0.9796733042196568,0.979642329352545,8.01523160047692,1.9717243260641804,TransUNet,transunet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet/4/best_transunet.pt
TransUNet cw0,6,Stomach,96519,55599,33565,40920,78545884,0.6235588354044234,0.576042022814161,0.9995728526933295,0.5988593463052622,0.5988593463052622,0.42740844377479165,0.35433828720480814,0.9695253574726483,0.6136528035125223,0.612922835839731,15.960304996522177,4.781774955920086,TransUNet,transunet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet/4/best_transunet.pt
TransUNet cw0,7,Aorta,265363,245929,32674,19434,78377931,0.8827220094543131,0.9267644698017433,0.9995832961625535,0.9042072482471332,0.904207248247133,0.8251626475907354,0.35433828720480814,0.9993364021591344,0.9559643022532246,0.9559434934438449,4.3833844212204385,1.472959915493362,TransUNet,transunet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet/4/best_transunet.pt
TransUNet cw0,8,Pancreas,505571,383671,100055,121900,78070342,0.7931576967126017,0.7588864867644702,0.9987200397613434,0.7756437146782007,0.7756437146782008,0.6335114410543801,0.35433828720480814,0.9677847583910781,0.82589587956765,0.8258556159992799,15.86283419137951,5.996746021577967,TransUNet,transunet,cw0,0.0,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet/4/best_transunet.pt
TransUNet cw001,0,Background,75494710,75267652,275732,227058,2905526,0.9963500178917057,0.9969923985402421,0.9133261118714672,0.9966711047081938,0.9966711047081936,0.993364298970303,0.35542550648809695,0.9942241817754933,0.9995931216312473,0.9995898753524994,,,TransUNet,transunet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw001/2/best_transunet.pt
TransUNet cw001,1,Spleen,84568,71979,6499,12589,78584901,0.9171869823389994,0.8511375461167344,0.9999173064737363,0.8829287440354255,0.8829287440354255,0.7903960820055563,0.35542550648809695,0.9939892424620639,0.9377888749185698,0.9377297731143796,1.815245529928411,0.6405557775547652,TransUNet,transunet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw001/2/best_transunet.pt
TransUNet cw001,2,Right kidney,22661,15912,11936,6749,78641371,0.5713875323182993,0.7021755438859715,0.9998482454145253,0.6300659288443644,0.6300659288443644,0.45992427089053967,0.35542550648809695,0.9521608334189104,0.6370812374764074,0.6355173106037331,7.423944847567964,2.327518999104029,TransUNet,transunet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw001/2/best_transunet.pt
TransUNet cw001,3,Left kidney,169740,156027,9048,13713,78497180,0.9451885506587915,0.9192117355956169,0.9998847479973181,0.9320191747681555,0.9320191747681555,0.8726927981743742,0.35542550648809695,0.9933941298350195,0.9743757440008135,0.9743595926601613,2.50385896003391,0.7149247261745342,TransUNet,transunet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw001/2/best_transunet.pt
TransUNet cw001,4,Gallbladder,168278,156064,24886,12214,78482804,0.862470295661785,0.9274177254305376,0.999683011944435,0.8937656774370899,0.8937656774370898,0.8079352260255535,0.35542550648809695,0.9981600664884065,0.9439558428759347,0.943924700822225,4.4551866983854005,1.5253853769893022,TransUNet,transunet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw001/2/best_transunet.pt
TransUNet cw001,5,Liver,1868558,1787147,108315,81411,76699095,0.9428556204239389,0.9564311089085809,0.998589784501261,0.9495948480613813,0.9495948480613812,0.9040272187439456,0.35542550648809695,0.9989374325904268,0.9841535596003554,0.9841525222084906,7.415337575289323,1.8230002475778326,TransUNet,transunet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw001/2/best_transunet.pt
TransUNet cw001,6,Stomach,96519,57838,31492,38681,78547957,0.647464457629016,0.5992395279685865,0.9995992336367744,0.6224192758637389,0.6224192758637388,0.4518205466717704,0.35542550648809695,0.9782787941623439,0.6431558339449838,0.6426406751767236,14.81359516320616,4.406045322008623,TransUNet,transunet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw001/2/best_transunet.pt
TransUNet cw001,7,Aorta,265363,244752,24696,20611,78385909,0.9083459517235236,0.9223290360751122,0.9996850426036121,0.9152840910153306,0.9152840910153307,0.8438007439865682,0.35542550648809695,0.9976530721393864,0.9622092005021199,0.9621961516208989,6.4333372327318985,2.0179211499048018,TransUNet,transunet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/transunet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/transunet-cw001/2/best_transunet.pt
