model,class_id,class_name,support_pixels,tp,fp,fn,tn,precision,recall_sensitivity,specificity,f1,dice,iou,loss,roc_auc,average_precision,pr_auc,hd95,asd,architecture,variation,contrastive_label,contrastive_weight,handle,checkpoint_path,baseline_model,dice_baseline,iou_baseline,f1_baseline,roc_auc_baseline,average_precision_baseline,pr_auc_baseline,hd95_baseline,asd_baseline,delta_dice,delta_iou,delta_f1,delta_roc_auc,delta_average_precision,delta_pr_auc,delta_hd95,delta_asd
ResNet-UNet cw001,3,Left kidney,169740,154748,15003,14992,78491225,0.9116176046091039,0.9116766819842111,0.9998088941427679,0.9116471423395612,0.9116471423395612,0.8376393151567313,0.3593073798609631,0.9949345536833979,0.9600508536438915,0.9600314382453126,3.086419522277928,0.9942628650528696,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt,ResNet-UNet cw0,0.927817108877145,0.8653533987149138,0.927817108877145,0.9997890105962255,0.9751917900937269,0.9751727815403444,2.7939628872666935,0.7997631604290852,-0.016169966537583735,-0.0277140835581825,-0.016169966537583735,-0.004854456912827598,-0.015140936449835385,-0.015141343295031806,0.2924566350112343,0.1944997046237844
ResNet-UNet cw001,4,Gallbladder,168278,151084,15142,17194,78492548,0.9089071505059377,0.8978238391233554,0.9998071271744208,0.9033314997727979,0.9033314997727979,0.8237051575618798,0.3593073798609631,0.9980126099335727,0.9466099002025465,0.9465709173442077,3.631143673115163,1.0372865411089338,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt,ResNet-UNet cw0,0.8908686801933934,0.8032129868523858,0.8908686801933933,0.9917679470204215,0.9425382410767403,0.9425098152975783,3.35106472260462,1.0900747959536428,0.012462819579404538,0.02049217070949394,0.01246281957940465,0.006244662913151178,0.004071659125806204,0.004061102046629461,0.28007895051054277,-0.05278825484470895
ResNet-UNet cw001,5,Liver,1868558,1804207,149315,64351,76658095,0.923566256228494,0.9655611439409427,0.9980559818382106,0.9440969315137308,0.9440969315137308,0.8941132568798928,0.3593073798609631,0.9987856069952132,0.9848101868878752,0.984809231580414,7.7440889716993775,1.8346525596065986,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt,ResNet-UNet cw0,0.9446240511807893,0.8950592935509527,0.9446240511807893,0.9988998555179426,0.9840030740597294,0.9840022176632448,9.891728522865423,2.2127021967690976,-0.0005271196670585399,-0.0009460366710598578,-0.0005271196670585399,-0.00011424852272934327,0.0008071128281458284,0.000807013917169197,-2.147639551166045,-0.37804963716249906
ResNet-UNet cw001,6,Stomach,96519,42531,16661,53988,78562788,0.7185261521827274,0.44064899139029623,0.9997879725524672,0.5462812518062309,0.5462812518062308,0.3757819402721329,0.3593073798609631,0.9532804677969051,0.5622761277580771,0.561848855158176,14.65211653902855,5.073654780960112,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt,ResNet-UNet cw0,0.595909304215454,0.42440941030699253,0.5959093042154541,0.9605095501640396,0.6261004994174201,0.6256835861277921,15.149354778976521,5.158874017567827,-0.04962805240922319,-0.04862747003485962,-0.04962805240922319,-0.007229082367134487,-0.06382437165934296,-0.06383473096961612,-0.497238239947972,-0.08521923660771513
ResNet-UNet cw001,7,Aorta,265363,245967,32512,19396,78378093,0.8832515198632572,0.9269076698710823,0.9995853622096144,0.9045531606606332,0.9045531606606331,0.8257389844733529,0.3593073798609631,0.9974753365020936,0.9558898733620429,0.9558653391199365,4.383652188018916,1.7120510948662377,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt,ResNet-UNet cw0,0.8975281624979805,0.814105296813386,0.8975281624979805,0.9996169373694874,0.9552694898165789,0.9552454517863201,5.566775246949445,1.7695456491286097,0.007024998162652563,0.011633687659966974,0.007024998162652674,-0.002141600867393789,0.0006203835454640094,0.0006198873336163979,-1.183123058930529,-0.05749455426237193
ResNet-UNet cw001,8,Pancreas,505571,349869,45092,155702,78125305,0.8858317656680027,0.6920274303708085,0.9994231575925091,0.7770273571622108,0.7770273571622108,0.6353595574788936,0.3593073798609631,0.951273552293036,0.8153350496329251,0.8153143002086514,15.146917196523823,5.0812583217542935,ResNetUNet,resnet-unet-cw001,cw010,0.01,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw001,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw001/1/best_resnet_unet.pt,ResNet-UNet cw0,0.7689402289728554,0.624616486599415,0.7689402289728554,0.9728253920972214,0.8436424844766467,0.8436095217783078,14.878423951657856,5.462440361130702,0.00808712818935542,0.010743070879478567,0.00808712818935542,-0.021551839804185402,-0.028307434843721557,-0.02829522156965647,0.26849324486596693,-0.3811820393764087
ResNet-UNet cw003,1,Spleen,84568,75981,12099,8587,78579301,0.8626362397820163,0.8984604105571847,0.9998460518580914,0.8801839581113017,0.8801839581113016,0.786007634456433,0.357687848106939,0.9936787224689453,0.9348387441636293,0.9347553319191894,2.8253328942253564,0.8575818938692681,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt,ResNet-UNet cw0,0.8616951698076644,0.756998606130896,0.8616951698076644,0.9977602963986275,0.9170808078278699,0.9170030332050964,3.1814765598684107,1.0782280189951057,0.018488788303637205,0.02900902832553698,0.018488788303637316,-0.004081573929682225,0.017757936335759394,0.017752298714093007,-0.35614366564305433,-0.2206461251258376
ResNet-UNet cw003,2,Right kidney,22661,13587,3348,9074,78649959,0.8023029229406554,0.5995763646794051,0.9999574334490475,0.6862814425699565,0.6862814425699566,0.5223960936598869,0.357687848106939,0.9731691116320043,0.6560281512124552,0.6546583924762239,5.521317679638842,2.22712880164269,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt,ResNet-UNet cw0,0.6795662981057684,0.514653857388595,0.6795662981057684,0.9677478089557935,0.6769846414110787,0.6758034080219695,6.416613827496811,2.286219280434682,0.006715144464188194,0.007742236271291891,0.006715144464188083,0.005421302676210771,-0.020956490198623556,-0.02114501554574555,-0.8952961478579695,-0.05909047879199214
ResNet-UNet cw003,3,Left kidney,169740,158375,13546,11365,78492682,0.9212079966961569,0.9330446565335219,0.999827453179893,0.9270885468344352,0.9270885468344353,0.8640867278460984,0.357687848106939,0.9981679547192116,0.975934190516071,0.975909174068767,2.2701742461136174,0.7204371308910601,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt,ResNet-UNet cw0,0.927817108877145,0.8653533987149138,0.927817108877145,0.9997890105962255,0.9751917900937269,0.9751727815403444,2.7939628872666935,0.7997631604290852,-0.0007285620427096573,-0.0012666708688153783,-0.0007285620427097683,-0.0016210558770138883,0.0007424004223440805,0.0007363925284226136,-0.5237886411530761,-0.07932602953802514
ResNet-UNet cw003,4,Gallbladder,168278,152911,15587,15367,78492103,0.9074944509727119,0.9086808733167734,0.9998014589398821,0.9080872746276456,0.9080872746276457,0.8316482201615315,0.357687848106939,0.9996808718712286,0.9683036276338163,0.9682792391701794,2.7180129707685854,0.9980595469233327,ResNetUNet,resnet-unet-cw003,cw030,0.03,tensura3607/abdominal-multi-organ-segmentation/pyTorch/resnet-unet-cw003,/kaggle/input/models/tensura3607/abdominal-multi-organ-segmentation/pytorch/resnet-unet-cw003/1/best_resnet_unet.pt,ResNet-UNet cw0,0.8908686801933934,0.8032129868523858,0.8908686801933933,0.9917679470204215,0.9425382410767403,0.9425098152975783,3.35106472260462,1.0900747959536428,0.017218594434252332,0.028435233309145658,0.017218594434252332,0.00791292485080708,0.025765386557075942,0.02576942387260117,-0.6330517518360348,-0.09201524903031011
